Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
1985,Women,Ingrid Kristiansen,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:21:06,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1986,Women,Grete Waitz,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:24:54,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1987,Women,Ingrid Kristiansen,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:22:48,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1988,Women,Ingrid Kristiansen,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,NOR,02:25:41,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/NO-128.png,Norway
1989,Women,Véronique Marot,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:25:56,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1990,Women,Wanda Panfil,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,POL,02:26:31,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PL-128.png,Poland
1991,Women,Rosa Mota,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,PRT,02:26:14,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PT-128.png,Portugal
1992,Women,Katrin Dörre-Heinig,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,DEU,02:29:39,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DE-128.png,Germany
1993,Women,Katrin Dörre-Heinig,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,DEU,02:27:09,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DE-128.png,Germany
1994,Women,Katrin Dörre-Heinig,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,DEU,02:32:34,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DE-128.png,Germany
1995,Women,Małgorzata Sobańska,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,POL,02:27:43,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/PL-128.png,Poland
1996,Women,Liz McColgan,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:27:54,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1997,Women,Joyce Chepchumba,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:26:51,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
1998,Women,Catherina McKiernan,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,IRL,02:26:26,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IE-128.png,Ireland
1999,Women,Joyce Chepchumba,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:23:22,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2000,Women,Tegla Loroupe,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:24:33,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2001,Women,Derartu Tulu,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:23:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2002,Women,Paula Radcliffe,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:18:56,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2003,Women,Paula Radcliffe,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:15:25,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2004,Women,Margaret Okayo,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:22:35,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2005,Women,Paula Radcliffe,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:17:42,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2006,Women,Deena Kastor,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,USA,02:19:35,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/US-128.png,United States
2007,Women,Zhou Chunxiu,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,CHN,02:20:38,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/CN-128.png,China
2008,Women,Irina Mikitenko,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,DEU,02:24:14,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DE-128.png,Germany
2009,Women,Irina Mikitenko,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,DEU,02:22:11,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/DE-128.png,Germany
2010,Women,Aselefech Mergia,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:22:38,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2011,Women,Mary Jepkosgei Keitany,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:19:19,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2012,Women,Mary Jepkosgei Keitany,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:18:37,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2013,Women,Priscah Jeptoo,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:20:15,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2014,Women,Edna Kiplagat,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:20:21,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2015,Women,Tigist Tufa,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,ETH,02:23:21,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/ET-128.png,Ethiopia
2016,Women,Jemima Sumgong,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:22:58,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2017,Women,Mary Jepkosgei Keitany,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:17:01,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2018,Women,Vivian Cheruiyot,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:18:31,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2019,Women,Brigid Kosgei,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:18:20,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
2020,Women,Brigid Kosgei,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,KEN,02:18:58,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/KE-128.png,Kenya
