Year,Category,Athlete,ImageURL,alpha_3,Time,url,Nationality
1997,Wheelchair Women,Monica Wetterström,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,SWE,01:49:09,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/SE-128.png,Sweden
1998,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:02:01,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
1999,Wheelchair Women,Monica Wetterström,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,SWE,01:57:38,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/SE-128.png,Sweden
2000,Wheelchair Women,Sarah Piercy,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:23:30,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2001,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:13:55,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2002,Wheelchair Women,Tanni Grey-Thompson,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,UK,02:22:51,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/UK-128.png,United Kingdom
2003,Wheelchair Women,Francesca Porcellato,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,ITA,02:04:21,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IT-128.png,Italy
2004,Wheelchair Women,Francesca Porcellato,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,ITA,02:04:58,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IT-128.png,Italy
2005,Wheelchair Women,Francesca Porcellato,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,ITA,01:57:00,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IT-128.png,Italy
2006,Wheelchair Women,Francesca Porcellato,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,ITA,01:59:57,https://raw.githubusercontent.com/cristiroma/countries/master/data/flags/PNG-128/IT-128.png,Italy
